1,8,41,-67
2,69,29,178
3,24,48,-136
4,94,5,-157
5,68,3,-43
6,-71,14,130
7,91,20,190
8,-18,18,-91
9,-55,43,101
10,37,46,158
11,-35,33,-38
12,86,22,40
13,69,22,76
14,53,48,-121
15,91,33,161
16,-5,11,20
17,70,17,186
18,77,47,151
19,-44,12,-148
20,16,49,91
21,8,17,-60
22,-38,18,39
23,19,7,95
24,86,45,34
25,50,32,92
26,-61,2,-158
27,66,37,118
28,100,17,-73
29,-39,35,141
30,11,14,4
31,-82,3,-192
32,67,16,-166
33,66,15,53
34,-52,15,-150
35,-70,40,-78
36,53,41,69
37,-33,14,118
38,1,23,197
39,61,36,-178
40,-92,40,-4
41,-80,8,-108
42,98,25,87
43,-14,22,-2
44,-66,22,82
45,-9,19,82
46,69,28,188
47,-68,29,-70
48,-57,8,195
49,26,22,197
50,-42,44,-77
51,47,42,-194
52,-99,36,-89
53,43,24,-193
54,47,12,103
55,-13,35,-19
56,30,25,4
57,-63,23,53
58,-55,29,156
59,23,50,-96
60,-92,42,78
61,-82,33,-1
62,-34,14,-136
63,17,47,-44
64,-48,5,-125
65,84,42,22
66,-5,15,193
67,72,41,-88
68,62,40,108
69,45,46,162
70,-67,34,172
71,-4,21,-70
72,-76,30,85
73,83,6,-106
74,70,3,84
75,56,7,152
76,29,43,132
77,-5,4,-128
78,-51,47,193
79,-34,35,164
80,34,28,-48
81,12,19,93
82,0,33,-3
83,-54,20,-3
84,-63,9,-70
85,51,31,-150
86,-96,12,166
87,22,25,97
88,-26,45,77
89,-100,36,-185
90,-66,10,4
91,-66,32,-135
92,-14,41,-119
93,-84,12,117
94,-24,41,-13
95,18,41,134
96,61,36,12
97,-72,45,32
98,86,45,-109
99,-39,26,-108
100,60,13,-41
101,41,48,68
102,91,38,-92
103,-29,35,82
104,-27,6,-17
105,-13,32,-30
106,-2,19,93
107,-25,3,92
108,68,1,20
109,-83,31,-58
110,-88,27,-198
111,-90,15,167
112,14,11,198
113,57,49,1
114,100,28,14
115,51,42,80
116,-76,19,64
117,-90,48,80
118,-31,12,193
119,-32,0,-131
120,58,29,-5
121,14,28,39
122,39,48,-85
123,-44,33,82
124,-66,8,-156
125,-43,31,-171
126,88,38,122
127,-9,28,-74
128,-6,37,-108
129,-66,0,35
130,23,23,82
131,-70,5,-128
132,54,9,106
133,-61,5,-26
134,11,7,139
135,70,44,190
136,-60,28,-173
137,94,17,-84
138,-36,24,-119
139,-22,13,36
140,-32,43,-197
141,-3,37,-192
142,17,0,163
143,41,12,-7
144,93,35,103
145,84,2,168
146,-29,20,139
147,62,20,-93
148,79,12,103
149,-67,3,24
150,-91,40,166
151,-95,1,197
152,49,48,-33
153,100,49,96
154,73,33,-102
155,-28,16,-32
156,24,14,23
157,-22,5,116
158,67,45,196
159,-79,13,-55
160,67,13,170
161,-88,17,-81
162,47,6,125
163,-60,32,-66
164,-69,14,13
165,18,25,-83
166,-17,17,-152
167,83,29,100
168,80,24,82
169,-49,46,113
170,40,24,189
171,-13,40,-103
172,71,37,18
173,-89,38,135
174,-47,29,-67
175,99,16,3
176,40,4,-81
177,51,46,120
178,49,45,108
179,-50,32,93
180,-70,27,-198
181,26,13,-62
182,92,47,106
183,-36,33,-13
184,32,7,111
185,-39,5,-143
186,-47,9,14
187,-1,50,-172
188,48,39,-147
189,-31,12,59
190,-60,2,-199
191,-28,44,34
192,-81,26,77
193,-87,36,-59
194,74,25,23
195,-20,39,-36
196,72,11,-7
197,-49,49,38
198,35,44,79
199,-86,37,45
200,84,7,-128
201,22,44,-38
202,73,24,-6
203,70,42,1
204,-71,0,58
205,96,44,196
206,7,45,57
207,76,13,-145
208,44,0,-106
209,-95,21,58
210,70,13,-97
211,93,17,12
212,-89,16,-89
213,-44,26,-92
214,-38,21,-177
215,-54,18,186
216,69,31,-133
217,-81,49,164
218,-68,28,-123
219,91,40,-96
220,-82,26,174
221,58,9,147
222,52,20,-159
223,3,48,136
224,25,35,-100
225,-42,50,106
226,-92,10,-193
227,56,40,175
228,27,27,38
229,-60,41,162
230,-73,30,-103
231,85,43,-126
232,99,38,49
233,-24,50,8
234,-70,18,-131
235,-47,38,-185
236,48,11,-168
237,64,31,160
238,-13,32,155
239,-39,15,28
240,38,50,-130
241,75,23,20
242,-56,42,-54
243,-5,49,65
244,-30,17,-138
245,-45,19,170
246,-97,48,116
247,27,20,115
248,74,1,99
249,85,29,144
250,-56,48,119
251,-20,19,86
252,-58,44,104
253,-10,45,-105
254,4,20,58
255,36,24,-50
256,93,23,113
257,-51,39,-89
258,-91,12,170
259,68,24,-167
260,-88,44,188
261,71,24,40
262,46,4,-84
263,20,46,27
264,-16,1,-63
265,-78,11,-13
266,-49,16,-199
267,57,42,133
268,-60,2,-183
269,89,22,-90
270,-60,10,104
271,78,14,-194
272,14,40,195
273,-22,49,136
274,59,31,-57
275,-34,35,-157
276,-71,24,-29
277,-18,29,-23
278,-76,26,137
279,34,28,193
280,39,26,-99
281,-87,22,-22
282,-61,33,71
283,49,45,-154
284,-41,13,33
285,-43,29,-85
286,-20,4,121
287,91,48,63
288,21,2,102
289,-67,48,-126
290,34,1,-130
291,97,48,-12
292,-35,9,-1
293,59,10,-32
294,88,22,-196
295,-19,24,-186
296,-82,6,-148
297,81,40,-80
298,64,3,93
299,-86,5,159
300,57,44,163
